index,repeat_group,repeat_index,repeat_delta_ms,repeat_status,output_path,start_ms,end_ms,start_s,end_s,duration_ms,duration_s,clip_dbfs
1,1,1,0,ok,data\split_audio\jingle_001.wav,0,7480,0.000,7.480,7480,7.480,-21.65
2,1,2,85,ok,data\split_audio\jingle_002.wav,7530,15095,7.530,15.095,7565,7.565,-21.68
3,2,1,0,ok,data\split_audio\jingle_003.wav,15140,21820,15.140,21.820,6680,6.680,-19.62
4,2,2,0,ok,data\split_audio\jingle_004.wav,22340,29020,22.340,29.020,6680,6.680,-19.62
5,3,1,0,ok,data\split_audio\jingle_005.wav,29540,36220,29.540,36.220,6680,6.680,-19.48
6,3,2,0,ok,data\split_audio\jingle_006.wav,36940,43620,36.940,43.620,6680,6.680,-19.49
7,4,1,0,ok,data\split_audio\jingle_007.wav,44340,50485,44.340,50.485,6145,6.145,-20.10
8,4,2,0,ok,data\split_audio\jingle_008.wav,51160,57305,51.160,57.305,6145,6.145,-20.15
9,5,1,0,ok,data\split_audio\jingle_009.wav,57975,69675,57.975,69.675,11700,11.700,-21.13
10,5,2,-5,ok,data\split_audio\jingle_010.wav,70685,82380,70.685,82.380,11695,11.695,-21.14
11,6,1,0,ok,data\split_audio\jingle_011.wav,83390,90630,83.390,90.630,7240,7.240,-20.82
12,6,2,0,ok,data\split_audio\jingle_012.wav,91190,98430,91.190,98.430,7240,7.240,-20.82
13,7,1,0,ok,data\split_audio\jingle_013.wav,98995,107150,98.995,107.150,8155,8.155,-20.59
14,7,2,0,ok,data\split_audio\jingle_014.wav,108325,116480,108.325,116.480,8155,8.155,-20.56
15,8,1,0,ok,data\split_audio\jingle_015.wav,117660,125540,117.660,125.540,7880,7.880,-21.76
16,8,2,-320,ok,data\split_audio\jingle_016.wav,126660,134220,126.660,134.220,7560,7.560,-21.58
17,9,1,0,ok,data\split_audio\jingle_017.wav,135085,143315,135.085,143.315,8230,8.230,-20.95
18,9,2,0,ok,data\split_audio\jingle_018.wav,144045,152275,144.045,152.275,8230,8.230,-20.98
19,10,1,0,ok,data\split_audio\jingle_019.wav,153005,160255,153.005,160.255,7250,7.250,-20.07
20,10,2,0,ok,data\split_audio\jingle_020.wav,161735,168985,161.735,168.985,7250,7.250,-20.04
21,11,1,0,ok,data\split_audio\jingle_021.wav,170460,177595,170.460,177.595,7135,7.135,-20.68
22,11,2,5,ok,data\split_audio\jingle_022.wav,178200,185340,178.200,185.340,7140,7.140,-20.72
23,12,1,0,ok,data\split_audio\jingle_023.wav,185940,193045,185.940,193.045,7105,7.105,-21.32
24,12,2,0,ok,data\split_audio\jingle_024.wav,193940,201045,193.940,201.045,7105,7.105,-21.32
25,13,1,0,ok,data\split_audio\jingle_025.wav,201940,210265,201.940,210.265,8325,8.325,-20.97
26,13,2,5,ok,data\split_audio\jingle_026.wav,211170,219500,211.170,219.500,8330,8.330,-20.97
27,14,1,0,ok,data\split_audio\jingle_027.wav,220405,229005,220.405,229.005,8600,8.600,-20.95
28,14,2,0,ok,data\split_audio\jingle_028.wav,229695,238295,229.695,238.295,8600,8.600,-20.92
29,15,1,0,ok,data\split_audio\jingle_029.wav,238985,246110,238.985,246.110,7125,7.125,-20.71
30,15,2,0,ok,data\split_audio\jingle_030.wav,246725,253850,246.725,253.850,7125,7.125,-20.72
31,16,1,0,ok,data\split_audio\jingle_031.wav,254470,264280,254.470,264.280,9810,9.810,-21.15
32,16,2,0,ok,data\split_audio\jingle_032.wav,264755,274565,264.755,274.565,9810,9.810,-21.15
33,17,1,0,ok,data\split_audio\jingle_033.wav,275040,285840,275.040,285.840,10800,10.800,-20.49
34,17,2,0,ok,data\split_audio\jingle_034.wav,286625,297425,286.625,297.425,10800,10.800,-20.51
35,18,1,0,ok,data\split_audio\jingle_035.wav,298210,307050,298.210,307.050,8840,8.840,-22.07
36,18,2,-5,ok,data\split_audio\jingle_036.wav,308500,317335,308.500,317.335,8835,8.835,-22.09
37,19,1,0,ok,data\split_audio\jingle_037.wav,318785,327520,318.785,327.520,8735,8.735,-21.97
38,19,2,0,ok,data\split_audio\jingle_038.wav,328015,336750,328.015,336.750,8735,8.735,-21.98
39,20,1,0,ok,data\split_audio\jingle_039.wav,337245,346025,337.245,346.025,8780,8.780,-22.34
40,20,2,0,ok,data\split_audio\jingle_040.wav,346845,355625,346.845,355.625,8780,8.780,-22.36
