start_s,end_s,duration_s,pitch_midi,velocity
0.150930,0.371519,0.220590,61,39
0.150930,0.371519,0.220590,75,74
0.150930,1.486077,1.335147,49,86
0.371519,0.789478,0.417959,61,50
0.603719,0.975238,0.371519,68,68
0.824308,1.265488,0.441179,77,76
1.160998,1.439637,0.278639,61,45
1.300317,1.880816,0.580499,56,82
1.532517,1.683447,0.150930,44,57
1.532517,1.938866,0.406349,63,64
1.764717,2.450989,0.686273,61,92
2.218790,2.474209,0.255420,75,88
2.450989,2.683189,0.232200,61,78
2.450989,2.834118,0.383129,73,70
2.683189,2.926998,0.243810,68,105
2.683189,3.159198,0.476009,61,77
2.903778,3.263688,0.359909,77,78
2.926998,3.147588,0.220590,68,91
3.147588,3.786137,0.638549,68,84
3.159198,3.553937,0.394739,61,55
3.391397,3.844186,0.452789,75,84
3.600377,3.797746,0.197370,56,48
3.611987,4.031230,0.419243,60,83
3.844186,4.089280,0.245093,75,78
3.855796,4.077670,0.221873,58,85
4.066060,4.472409,0.406349,73,71
4.077670,4.298259,0.220590,58,80
4.298259,4.530459,0.232200,58,76
4.298259,4.971638,0.673379,68,83
4.530459,4.913588,0.383129,77,72
4.530459,5.134178,0.603719,58,77
4.994858,5.842386,0.847528,53,78
5.227058,5.842386,0.615329,60,83
5.459257,6.133920,0.674663,58,82
5.912046,6.041040,0.128994,46,41
5.923656,6.052650,0.128994,66,50
5.923656,6.133920,0.210263,78,62
5.923656,6.900178,0.976522,54,84
6.133920,6.424169,0.290249,73,58
6.366119,6.853738,0.487619,70,76
6.609929,6.900178,0.290249,78,64
6.609929,7.260088,0.650159,62,41
6.609929,7.527117,0.917188,50,89
6.946618,7.283307,0.336689,76,83
7.306527,7.550337,0.243810,78,81
7.527117,9.385997,1.858880,49,89
7.538727,9.385997,1.847270,61,59
7.712877,9.385997,1.673121,56,81
7.992800,8.190170,0.197370,37,57
8.201780,8.433979,0.232200,37,57
8.619739,9.107358,0.487619,77,41
