start_s,end_s,duration_s,pitch_midi,velocity
0.150930,0.893968,0.743039,41,83
0.394739,0.835918,0.441179,69,67
0.510839,0.743039,0.232200,60,44
0.522449,0.708209,0.185760,72,56
0.522449,1.102948,0.580499,48,77
0.766259,0.928798,0.162540,77,74
0.824308,0.986848,0.162540,65,55
0.893968,1.126168,0.232200,74,73
0.893968,1.149388,0.255420,53,89
0.893968,1.393197,0.499229,41,53
1.102948,1.265488,0.162540,57,82
1.149388,1.288707,0.139320,72,62
1.149388,1.404807,0.255420,53,64
1.265488,1.822766,0.557279,60,70
1.277098,1.904036,0.626939,57,64
1.358367,1.509297,0.150930,65,76
1.404807,1.625397,0.220590,53,52
1.451247,1.799546,0.348299,45,56
1.520907,1.857596,0.336689,64,67
1.648617,2.114300,0.465683,67,78
1.741497,1.904036,0.162540,41,52
1.915646,2.265229,0.349583,41,88
2.137520,2.567089,0.429569,69,70
2.265229,2.450989,0.185760,72,55
2.265229,2.485819,0.220590,60,45
2.265229,2.659969,0.394739,41,71
2.265229,2.845728,0.580499,48,78
2.520649,2.671579,0.150930,77,73
2.578699,2.718019,0.139320,65,52
2.648359,2.892168,0.243810,53,89
2.648359,2.892168,0.243810,74,74
2.659969,3.182418,0.522449,41,53
2.892168,3.368177,0.476009,53,61
2.892168,3.635207,0.743039,57,67
3.019878,3.588767,0.568889,60,69
3.101148,3.263688,0.162540,65,75
3.205638,3.472667,0.267029,45,54
3.275298,3.600377,0.325079,64,65
3.403007,3.646817,0.243810,67,93
3.646817,3.797746,0.150930,68,58
3.658427,3.820966,0.162540,63,50
3.704867,4.298259,0.593393,44,74
3.786137,4.008010,0.221873,72,67
3.879016,4.008010,0.128994,75,63
4.008010,4.182160,0.174150,80,52
4.019620,4.193770,0.174150,68,41
4.019620,4.275039,0.255420,51,87
4.263429,4.460799,0.197370,75,59
4.263429,4.472409,0.208980,63,51
4.275039,5.006468,0.731429,51,71
4.367919,4.507239,0.139320,72,81
4.518849,4.658169,0.139320,70,54
4.518849,4.774268,0.255420,72,61
4.600119,4.751049,0.150930,68,88
4.762659,5.018078,0.255420,67,71
4.774268,5.029688,0.255420,72,70
4.890368,5.076128,0.185760,75,69
4.890368,5.145788,0.255420,63,39
4.901978,5.273498,0.371519,65,49
5.018078,5.157398,0.139320,68,67
5.157398,5.319937,0.162540,73,63
5.157398,5.389597,0.232200,68,68
5.157398,5.470867,0.313469,49,44
5.157398,5.807556,0.650159,37,71
5.273498,5.540527,0.267029,65,56
5.389597,5.761117,0.371519,68,53
5.517307,6.017820,0.500513,58,75
5.761117,5.982990,0.221873,68,57
5.772727,5.959770,0.187044,80,55
5.819166,6.087480,0.268313,46,38
5.900436,6.145530,0.245093,73,66
6.017820,6.273239,0.255420,58,66
6.017820,6.273239,0.255420,77,64
6.133920,6.319679,0.185760,70,68
6.145530,6.389339,0.243810,73,67
6.238410,6.377729,0.139320,68,77
6.273239,6.412559,0.139320,77,65
6.273239,6.458999,0.185760,58,53
6.389339,6.528659,0.139320,68,71
6.389339,6.586709,0.197370,65,69
6.505439,6.772468,0.267029,61,53
6.563489,7.109158,0.545669,49,65
6.644759,6.888568,0.243810,82,52
6.644759,6.946618,0.301859,79,49
6.644759,7.225258,0.580499,63,51
6.644759,7.619997,0.975238,51,94
