start_s,end_s,duration_s,pitch_midi,velocity
0.139320,0.313469,0.174150,84,56
0.150930,0.313469,0.162540,65,58
0.150930,0.313469,0.162540,81,56
0.150930,0.545669,0.394739,53,91
0.336689,0.534059,0.197370,72,61
0.336689,0.545669,0.208980,60,92
0.534059,0.684989,0.150930,72,52
0.534059,0.684989,0.150930,84,59
0.534059,0.731429,0.197370,81,67
0.545669,0.766259,0.220590,60,66
0.545669,0.882358,0.336689,53,62
0.545669,0.917188,0.371519,65,55
0.731429,0.905578,0.174150,83,81
0.731429,0.917188,0.185760,80,79
0.917188,1.079728,0.162540,65,54
0.917188,1.126168,0.208980,84,81
0.917188,1.230658,0.313469,81,67
1.114558,1.497687,0.383129,72,86
1.300317,1.497687,0.197370,82,73
1.300317,1.497687,0.197370,86,70
1.497687,1.706667,0.208980,72,95
1.695057,1.950476,0.255420,84,70
1.706667,1.950476,0.243810,72,72
1.892426,2.079470,0.187044,89,89
2.079470,2.276839,0.197370,81,80
2.091080,2.474209,0.383129,77,69
2.265229,2.474209,0.208980,84,86
2.276839,2.659969,0.383129,81,56
2.474209,2.671579,0.197370,77,95
2.474209,2.857338,0.383129,72,84
2.659969,2.845728,0.185760,81,74
2.671579,2.834118,0.162540,77,57
2.671579,3.054708,0.383129,65,56
2.845728,3.240468,0.394739,60,75
2.857338,3.182418,0.325079,72,55
2.857338,3.391397,0.534059,69,70
3.043098,3.333347,0.290249,41,45
3.043098,3.461057,0.417959,53,80
3.054708,3.217248,0.162540,65,57
3.054708,3.240468,0.185760,77,64
3.240468,3.403007,0.162540,82,58
3.240468,3.449447,0.208980,60,64
3.240468,3.461057,0.220590,48,92
3.449447,3.635207,0.185760,55,85
3.449447,3.635207,0.185760,60,68
3.449447,3.646817,0.197370,72,65
3.461057,3.600377,0.139320,53,53
3.461057,3.635207,0.174150,48,78
3.635207,3.809356,0.174150,82,63
3.635207,3.844186,0.208980,48,64
3.635207,3.844186,0.208980,60,91
3.635207,3.867406,0.232200,55,64
3.832576,3.973180,0.140604,81,67
3.832576,4.031230,0.198654,77,75
3.844186,4.019620,0.175434,60,82
4.008010,4.216990,0.208980,82,74
4.008010,4.251820,0.243810,79,70
4.019620,4.205380,0.185760,60,82
4.205380,4.391139,0.185760,60,66
4.205380,4.402749,0.197370,72,99
4.402749,4.600119,0.197370,72,82
4.402749,4.600119,0.197370,84,76
4.402749,4.716219,0.313469,81,69
4.600119,4.960028,0.359909,72,86
4.785878,4.983248,0.197370,79,83
4.785878,4.983248,0.197370,82,81
4.983248,5.180618,0.197370,81,67
4.994858,5.192228,0.197370,77,83
5.180618,5.389597,0.208980,79,79
5.192228,5.377987,0.185760,76,81
5.377987,5.575357,0.197370,77,85
5.377987,5.586967,0.208980,74,82
5.575357,5.761117,0.185760,60,37
5.575357,5.772727,0.197370,72,90
5.575357,5.819166,0.243810,76,74
5.761117,5.994600,0.233483,67,80
5.761117,6.133920,0.372803,48,47
5.761117,6.145530,0.384413,60,76
5.772727,6.006210,0.233483,72,62
5.946876,6.319679,0.372803,55,77
5.959770,6.273239,0.313469,64,67
6.006210,6.226800,0.220590,36,42
6.133920,6.726029,0.592109,48,68
6.145530,6.296459,0.150930,76,61
6.145530,6.784078,0.638549,60,49
6.331289,6.493829,0.162540,77,45
6.331289,6.726029,0.394739,41,47
6.331289,7.062718,0.731429,53,91
6.331289,7.062718,0.731429,69,85
6.342899,6.621539,0.278639,65,43
