start_s,end_s,duration_s,pitch_midi,velocity
0.139320,0.777868,0.638549,69,73
0.162540,0.406349,0.243810,77,57
0.162540,0.824308,0.661769,41,94
0.812698,1.311927,0.499229,60,50
0.824308,1.102948,0.278639,72,57
0.824308,1.126168,0.301859,41,61
0.824308,1.753107,0.928798,48,75
1.149388,1.311927,0.162540,72,33
1.311927,1.462857,0.150930,60,55
1.311927,1.474467,0.162540,72,73
1.474467,1.660227,0.185760,81,50
1.486077,1.822766,0.336689,77,48
1.486077,2.485819,0.999742,53,87
1.660227,1.799546,0.139320,79,52
1.706667,1.845986,0.139320,41,40
1.822766,2.102690,0.279923,77,71
1.986590,2.149130,0.162540,72,72
2.149130,2.334889,0.185760,72,53
2.149130,2.392939,0.243810,84,78
2.149130,2.416159,0.267029,81,78
2.311669,2.497429,0.185760,77,85
2.474209,2.694799,0.220590,82,80
2.474209,2.764459,0.290249,79,80
2.648359,2.822508,0.174150,72,97
2.810898,3.112758,0.301859,81,76
2.822508,2.985048,0.162540,72,65
2.822508,3.321737,0.499229,77,77
2.985048,3.147588,0.162540,72,106
3.147588,3.344957,0.197370,84,68
3.147588,3.495887,0.348299,72,71
3.321737,3.495887,0.174150,77,93
3.495887,3.658427,0.162540,72,56
3.495887,3.820966,0.325079,77,55
3.495887,4.379529,0.883642,53,78
3.646817,3.832576,0.185760,81,50
3.820966,4.089280,0.268313,77,67
3.984790,4.158940,0.174150,72,61
4.147330,4.286649,0.139320,79,47
4.147330,4.309869,0.162540,70,75
4.147330,4.437579,0.290249,51,51
4.147330,4.484019,0.336689,75,53
4.147330,5.076128,0.928798,39,72
4.309869,4.484019,0.174150,70,67
4.484019,4.634949,0.150930,75,59
4.484019,5.110958,0.626939,46,78
4.809098,4.960028,0.150930,82,61
4.809098,4.983248,0.174150,51,89
4.809098,5.006468,0.197370,79,60
4.809098,5.157398,0.348299,63,42
4.983248,5.157398,0.174150,70,54
4.983248,5.482477,0.499229,51,92
5.145788,5.308327,0.162540,79,58
5.319937,5.528917,0.208980,70,66
5.482477,5.645017,0.162540,87,75
5.482477,5.668237,0.185760,79,65
5.482477,5.726287,0.243810,82,59
5.482477,5.982990,0.500513,51,88
5.656627,5.842386,0.185760,77,71
5.819166,6.064260,0.245093,75,69
5.971380,6.145530,0.174150,70,91
5.982990,6.540269,0.557279,51,66
6.145530,6.319679,0.174150,81,61
6.145530,6.435779,0.290249,70,55
6.145530,6.482219,0.336689,89,58
6.145530,7.051108,0.905578,41,98
6.563489,6.935008,0.371519,69,39
