start_s,end_s,duration_s,pitch_midi,velocity
0.139320,0.452789,0.313469,75,65
0.150930,0.476009,0.325079,59,42
0.150930,0.963628,0.812698,47,80
0.313469,0.522449,0.208980,66,50
0.476009,0.673379,0.197370,59,53
0.487619,0.696599,0.208980,71,73
0.650159,0.847528,0.197370,76,74
0.650159,1.079728,0.429569,61,40
0.719819,0.986848,0.267029,49,86
0.812698,1.149388,0.336689,66,70
0.986848,1.335147,0.348299,71,71
0.986848,1.404807,0.417959,49,61
1.137778,1.346757,0.208980,59,52
1.137778,1.497687,0.359909,78,69
1.149388,1.416417,0.267029,66,53
1.149388,2.822508,1.673121,51,79
1.660227,1.822766,0.162540,66,88
1.683447,2.230400,0.546953,39,40
1.822766,1.986590,0.163824,66,85
1.986590,2.149130,0.162540,66,83
2.149130,2.520649,0.371519,66,68
2.311669,2.776068,0.464399,68,84
2.474209,2.822508,0.348299,71,92
2.799288,3.147588,0.348299,55,92
2.822508,3.135978,0.313469,71,71
2.985048,3.286907,0.301859,64,73
3.135978,3.646817,0.510839,67,66
3.147588,3.321737,0.174150,55,77
3.321737,4.054450,0.732712,54,76
3.495887,3.902236,0.406349,64,60
3.646817,4.089280,0.442463,67,73
3.809356,4.216990,0.407633,74,66
3.820966,4.309869,0.488903,52,89
4.309869,4.646559,0.336689,52,74
4.309869,4.774268,0.464399,59,83
4.472409,4.704609,0.232200,40,54
4.472409,4.948418,0.476009,62,79
4.646559,4.983248,0.336689,64,66
4.646559,4.994858,0.348299,52,73
4.797488,5.145788,0.348299,67,95
4.983248,5.308327,0.325079,64,77
4.994858,5.308327,0.313469,52,63
5.145788,5.470867,0.325079,67,77
5.319937,5.505697,0.185760,72,51
5.319937,5.645017,0.325079,51,65
5.319937,5.819166,0.499229,60,78
5.331547,5.946876,0.615329,65,54
5.343157,5.971380,0.628223,56,64
5.377987,6.400949,1.022962,44,44
5.645017,5.865606,0.220590,70,65
5.645017,6.482219,0.837202,51,80
5.819166,6.296459,0.477293,60,67
5.819166,6.308069,0.488903,72,56
5.971380,6.296459,0.325079,75,62
5.971380,6.470609,0.499229,56,67
6.296459,6.586709,0.290249,60,59
6.308069,6.482219,0.174150,72,92
6.470609,6.609929,0.139320,56,55
6.470609,6.644759,0.174150,75,78
6.482219,6.633149,0.150930,51,63
6.482219,6.644759,0.162540,72,66
6.644759,7.039498,0.394739,61,51
6.644759,7.143988,0.499229,57,76
6.644759,7.898636,1.253878,49,76
6.656369,6.795688,0.139320,64,51
6.656369,7.643217,0.986848,52,77
6.981448,7.143988,0.162540,75,69
7.143988,7.364577,0.220590,76,67
7.143988,7.643217,0.499229,57,67
7.190428,7.341357,0.150930,61,38
7.318137,7.596777,0.278639,78,70
7.643217,7.852196,0.208980,57,66
7.643217,7.875416,0.232200,76,73
7.643217,7.946360,0.303143,52,69
7.654827,7.852196,0.197370,61,39
7.805756,7.946360,0.140604,78,80
7.969580,8.236610,0.267029,60,48
7.969580,9.490487,1.520907,44,81
7.969580,9.490487,1.520907,48,85
7.981190,9.188628,1.207438,67,42
7.981190,9.211848,1.230658,56,54
7.981190,9.490487,1.509297,51,74
8.039240,8.631349,0.592109,39,48
8.271439,8.701009,0.429569,32,48
8.840328,8.979648,0.139320,32,41
9.130578,9.374387,0.243810,60,47
