start_s,end_s,duration_s,pitch_midi,velocity
0.150930,0.510839,0.359909,41,91
0.394739,0.835918,0.441179,69,68
0.510839,0.905578,0.394739,41,72
0.522449,0.708209,0.185760,72,55
0.522449,0.754649,0.232200,60,45
0.522449,1.102948,0.580499,48,77
0.766259,0.928798,0.162540,77,74
0.835918,0.986848,0.150930,65,55
0.893968,1.126168,0.232200,74,74
0.893968,1.149388,0.255420,53,87
0.905578,1.451247,0.545669,41,54
1.114558,1.265488,0.150930,57,83
1.149388,1.404807,0.255420,53,66
1.265488,1.834376,0.568889,60,69
1.277098,1.915646,0.638549,57,65
1.358367,1.509297,0.150930,65,76
1.404807,1.590567,0.185760,53,53
1.451247,1.811156,0.359909,45,55
1.520907,1.845986,0.325079,64,68
1.648617,2.125910,0.477293,67,78
1.683447,1.822766,0.139320,48,40
1.706667,1.892426,0.185760,41,50
1.904036,2.265229,0.361193,41,88
2.137520,2.567089,0.429569,69,70
2.265229,2.450989,0.185760,72,56
2.265229,2.485819,0.220590,60,41
2.265229,2.659969,0.394739,41,71
2.265229,2.845728,0.580499,48,78
2.392939,2.718019,0.325079,65,44
2.520649,2.671579,0.150930,77,72
2.648359,2.880558,0.232200,74,73
2.648359,2.892168,0.243810,53,89
2.659969,3.159198,0.499229,41,55
2.857338,3.008268,0.150930,57,81
2.892168,3.159198,0.267029,53,67
3.019878,3.588767,0.568889,60,69
3.019878,3.635207,0.615329,57,64
3.101148,3.263688,0.162540,65,75
3.159198,3.344957,0.185760,53,55
3.205638,3.461057,0.255420,45,53
3.275298,3.600377,0.325079,64,64
3.403007,3.646817,0.243810,67,92
3.646817,3.786137,0.139320,68,59
3.658427,3.809356,0.150930,63,51
3.704867,4.309869,0.605003,44,75
3.786137,3.996400,0.210263,72,67
4.008010,4.158940,0.150930,80,49
4.019620,4.170550,0.150930,68,42
4.019620,5.018078,0.998458,51,74
4.263429,4.437579,0.174150,75,61
4.263429,4.472409,0.208980,63,49
4.367919,4.507239,0.139320,72,80
4.518849,4.774268,0.255420,72,61
4.600119,4.751049,0.150930,68,89
4.762659,5.099348,0.336689,67,67
4.774268,5.041298,0.267029,72,69
4.890368,5.145788,0.255420,63,43
4.901978,5.273498,0.371519,65,51
4.925198,5.076128,0.150930,75,69
5.157398,5.319937,0.162540,73,62
5.157398,5.401207,0.243810,68,69
5.157398,5.807556,0.650159,37,71
5.238668,5.459257,0.220590,49,49
5.273498,5.540527,0.267029,65,58
5.401207,5.772727,0.371519,68,54
5.517307,6.029430,0.512123,58,76
5.772727,5.959770,0.187044,80,55
5.772727,6.006210,0.233483,68,58
5.830776,6.099090,0.268313,46,38
5.900436,6.145530,0.245093,73,67
6.017820,6.273239,0.255420,77,62
6.029430,6.273239,0.243810,58,68
6.133920,6.319679,0.185760,70,65
6.145530,6.400949,0.255420,73,67
6.238410,6.377729,0.139320,68,78
6.273239,6.424169,0.150930,77,63
6.273239,6.482219,0.208980,58,54
6.389339,6.528659,0.139320,68,69
6.389339,6.586709,0.197370,65,68
6.505439,6.679589,0.174150,61,61
6.563489,7.120768,0.557279,49,65
6.644759,6.888568,0.243810,82,55
6.644759,6.900178,0.255420,79,50
6.644759,7.619997,0.975238,51,94
6.656369,7.202038,0.545669,63,53
7.411017,7.596777,0.185760,63,41
