start_s,end_s,duration_s,pitch_midi,velocity
0.139320,0.301859,0.162540,84,58
0.150930,0.313469,0.162540,65,58
0.150930,0.313469,0.162540,81,60
0.150930,0.545669,0.394739,53,91
0.325079,0.476009,0.150930,41,38
0.336689,0.534059,0.197370,72,58
0.348299,0.545669,0.197370,60,93
0.534059,0.673379,0.139320,72,53
0.534059,0.684989,0.150930,84,62
0.534059,0.731429,0.197370,81,69
0.545669,0.789478,0.243810,60,61
0.545669,0.893968,0.348299,53,63
0.545669,0.917188,0.371519,65,56
0.731429,0.893968,0.162540,83,83
0.731429,0.917188,0.185760,80,79
0.917188,1.079728,0.162540,65,55
0.917188,1.137778,0.220590,84,81
0.917188,1.230658,0.313469,81,70
1.114558,1.509297,0.394739,72,85
1.300317,1.509297,0.208980,82,74
1.311927,1.497687,0.185760,86,72
1.509297,1.706667,0.197370,72,95
1.706667,1.938866,0.232200,84,70
1.706667,1.950476,0.243810,72,74
1.880816,2.079470,0.198654,89,88
2.079470,2.276839,0.197370,81,82
2.091080,2.474209,0.383129,77,71
2.276839,2.474209,0.197370,84,86
2.276839,2.659969,0.383129,81,59
2.474209,2.671579,0.197370,77,97
2.474209,2.857338,0.383129,72,85
2.659969,2.845728,0.185760,81,76
2.671579,2.845728,0.174150,77,60
2.671579,3.054708,0.383129,65,58
2.845728,3.043098,0.197370,41,37
2.857338,3.182418,0.325079,72,58
2.857338,3.217248,0.359909,69,83
2.857338,3.240468,0.383129,60,73
3.043098,3.182418,0.139320,41,53
3.043098,3.461057,0.417959,53,77
3.054708,3.205638,0.150930,65,56
3.054708,3.252078,0.197370,77,67
3.240468,3.403007,0.162540,82,62
3.240468,3.449447,0.208980,60,61
3.240468,3.461057,0.220590,48,92
3.449447,3.635207,0.185760,55,85
3.449447,3.646817,0.197370,60,68
3.449447,3.658427,0.208980,72,61
3.461057,3.600377,0.139320,53,52
3.461057,3.635207,0.174150,48,81
3.635207,3.774527,0.139320,79,47
3.635207,3.809356,0.174150,82,62
3.635207,3.867406,0.232200,48,64
3.635207,3.913846,0.278639,55,61
3.646817,3.844186,0.197370,60,91
3.832576,3.971896,0.139320,81,67
3.832576,4.019620,0.187044,77,75
3.844186,4.019620,0.175434,60,80
4.008010,4.216990,0.208980,82,74
4.008010,4.251820,0.243810,79,70
4.019620,4.205380,0.185760,60,81
4.205380,4.507239,0.301859,60,55
4.216990,4.402749,0.185760,72,99
4.402749,4.600119,0.197370,72,82
4.402749,4.600119,0.197370,84,78
4.402749,4.716219,0.313469,81,70
4.600119,4.960028,0.359909,72,86
4.785878,4.983248,0.197370,79,83
4.785878,4.983248,0.197370,82,79
4.994858,5.180618,0.185760,77,86
4.994858,5.180618,0.185760,81,65
5.180618,5.377987,0.197370,76,83
5.180618,5.401207,0.220590,79,78
5.377987,5.575357,0.197370,77,84
5.377987,5.598577,0.220590,74,80
5.575357,5.761117,0.185760,60,36
5.575357,5.772727,0.197370,72,90
5.575357,5.795946,0.220590,76,77
5.761117,5.994600,0.233483,67,83
5.761117,6.145530,0.384413,60,77
5.772727,5.971380,0.198654,72,66
5.772727,6.145530,0.372803,48,48
5.946876,6.319679,0.372803,55,78
5.959770,6.273239,0.313469,64,68
6.029430,6.191970,0.162540,36,41
6.145530,6.296459,0.150930,76,63
6.145530,6.331289,0.185760,60,62
6.145530,6.702809,0.557279,48,70
6.331289,6.795688,0.464399,60,45
6.331289,6.946618,0.615329,41,47
6.331289,7.062718,0.731429,53,90
6.331289,7.062718,0.731429,69,85
6.342899,6.505439,0.162540,77,47
6.342899,6.667979,0.325079,65,46
