start_s,end_s,duration_s,pitch_midi,velocity
0.150930,0.325079,0.174150,72,57
0.150930,0.859138,0.708209,60,45
0.150930,1.091338,0.940408,48,77
0.394739,0.673379,0.278639,67,66
0.638549,1.149388,0.510839,55,93
0.893968,1.137778,0.243810,76,83
1.149388,1.404807,0.255420,74,64
1.149388,1.648617,0.499229,55,65
1.149388,1.660227,0.510839,64,75
1.393197,1.718277,0.325079,72,82
1.648617,2.346499,0.697883,55,86
1.648617,2.369719,0.721102,60,86
1.660227,1.915646,0.255420,67,53
1.892426,2.079470,0.187044,72,44
2.137520,2.404549,0.267029,75,70
2.149130,2.392939,0.243810,51,98
2.149130,2.392939,0.243810,63,52
2.392939,2.567089,0.174150,63,47
2.392939,2.694799,0.301859,70,67
2.392939,3.089538,0.696599,51,74
2.636749,2.799288,0.162540,63,38
2.636749,2.903778,0.267029,58,93
2.892168,3.112758,0.220590,80,79
2.903778,3.403007,0.499229,58,81
3.147588,3.948676,0.801088,67,85
3.391397,3.739697,0.348299,75,89
3.646817,4.309869,0.663053,58,84
3.658427,3.855796,0.197370,70,49
3.658427,4.170550,0.512123,63,83
4.135720,4.344699,0.208980,78,60
4.135720,4.356309,0.220590,66,62
4.135720,4.402749,0.267029,61,85
4.135720,4.518849,0.383129,46,40
4.135720,4.658169,0.522449,54,92
4.391139,4.600119,0.208980,73,62
4.402749,4.646559,0.243810,61,86
4.646559,4.867148,0.220590,82,50
4.646559,5.308327,0.661769,61,73
4.658169,4.901978,0.243810,66,49
4.658169,4.913588,0.255420,54,84
4.913588,5.180618,0.267029,53,93
5.180618,5.447647,0.267029,53,67
5.180618,5.726287,0.545669,56,89
5.192228,5.401207,0.208980,44,45
5.215448,5.505697,0.290249,63,48
5.447647,5.737897,0.290249,51,96
5.726287,5.865606,0.139320,87,48
5.726287,5.946876,0.220590,84,57
5.726287,5.994600,0.268313,56,74
5.726287,6.029430,0.303143,68,89
5.737897,6.215190,0.477293,51,66
5.737897,6.238410,0.500513,63,66
5.994600,6.366119,0.371519,56,84
6.284849,7.155598,0.870748,46,46
6.284849,7.503897,1.219048,58,92
6.284849,7.503897,1.219048,65,61
