start_s,end_s,duration_s,pitch_midi,velocity
0.150930,0.325079,0.174150,67,96
0.150930,0.499229,0.348299,72,60
0.150930,1.381587,1.230658,60,83
0.325079,0.673379,0.348299,67,100
0.499229,0.859138,0.359909,72,71
0.673379,1.010068,0.336689,77,81
0.673379,1.381587,0.708209,67,78
1.021678,1.393197,0.371519,76,86
1.184218,1.335147,0.150930,48,48
1.381587,1.741497,0.359909,67,62
1.381587,1.915646,0.534059,60,66
1.381587,1.915646,0.534059,72,82
1.741497,2.892168,1.150672,67,70
1.915646,2.091080,0.175434,72,98
1.915646,2.555479,0.639833,60,58
2.079470,2.427769,0.348299,77,88
2.091080,2.346499,0.255420,72,69
2.427769,2.926998,0.499229,76,92
2.613529,2.892168,0.278639,48,46
2.973438,3.333347,0.359909,72,74
2.973438,3.855796,0.882358,56,73
2.985048,3.786137,0.801088,44,57
2.985048,3.855796,0.870748,63,54
3.135978,3.739697,0.603719,67,73
3.333347,3.751307,0.417959,72,77
3.507497,3.820966,0.313469,77,82
3.855796,4.205380,0.349583,75,80
3.855796,4.518849,0.663053,63,48
3.855796,4.530459,0.674663,56,72
3.973180,4.112500,0.139320,44,44
4.205380,4.727829,0.522449,72,88
4.228600,4.507239,0.278639,44,53
4.553679,5.227058,0.673379,67,80
4.727829,5.227058,0.499229,72,86
4.901978,5.261888,0.359909,77,89
4.936808,5.145788,0.208980,44,57
5.273498,5.772727,0.499229,75,91
5.331547,5.726287,0.394739,56,59
5.470867,5.645017,0.174150,44,49
5.470867,5.679847,0.208980,63,44
5.795946,6.958228,1.162282,60,68
5.795946,7.027888,1.231941,53,88
5.807556,5.971380,0.163824,72,41
5.959770,6.482219,0.522449,67,69
6.145530,6.342899,0.197370,72,68
6.319679,6.551879,0.232200,77,71
6.667979,6.981448,0.313469,41,54
6.679589,7.085938,0.406349,75,79
7.027888,7.445847,0.417959,72,87
7.027888,7.689657,0.661769,53,78
7.027888,7.689657,0.661769,60,54
7.387797,7.921856,0.534059,67,84
7.736097,8.074070,0.337973,56,65
7.736097,8.213390,0.477293,70,71
7.736097,8.608129,0.872032,61,60
7.736097,8.619739,0.883642,49,80
7.840586,8.143730,0.303143,37,48
8.074070,8.561689,0.487619,68,66
8.074070,8.631349,0.557279,56,72
8.619739,8.759059,0.139320,48,78
8.619739,8.828718,0.208980,69,79
8.689399,8.828718,0.139320,60,60
8.759059,10.176760,1.417701,48,78
8.770668,10.176760,1.406091,55,73
8.828718,10.176760,1.348041,60,71
8.828718,10.176760,1.348041,69,63
9.130578,9.478877,0.348299,36,42
9.850396,10.095490,0.245093,36,39
