start_s,end_s,duration_s,pitch_midi,velocity
0.150930,0.383129,0.232200,79,51
0.150930,0.754649,0.603719,50,91
0.162540,0.336689,0.174150,62,45
0.441179,0.731429,0.290249,78,73
0.743039,1.056508,0.313469,62,92
0.754649,1.219048,0.464399,50,61
1.044898,1.381587,0.336689,69,95
1.056508,1.602177,0.545669,62,79
1.335147,2.067860,0.732712,57,88
1.660227,1.927256,0.267029,76,62
1.950476,2.172350,0.221873,38,43
1.950476,2.764459,0.813982,50,81
1.962086,2.207180,0.245093,62,60
2.242010,2.810898,0.568889,69,67
2.543869,2.787678,0.243810,79,73
2.543869,3.646817,1.102948,52,78
2.845728,3.112758,0.267029,78,71
3.147588,3.542327,0.394739,74,74
3.147588,3.948676,0.801088,64,65
3.449447,4.309869,0.860422,69,80
3.751307,4.054450,0.303143,59,99
4.042840,4.333089,0.290249,76,91
4.054450,4.495629,0.441179,59,74
4.333089,4.855538,0.522449,40,58
4.344699,4.576899,0.232200,64,52
4.344699,4.704609,0.359909,74,69
4.344699,5.261888,0.917188,52,79
4.646559,4.960028,0.313469,69,100
4.948418,5.563747,0.615329,55,86
4.960028,5.238668,0.278639,69,65
5.250278,5.528917,0.278639,78,74
5.552137,6.017820,0.465683,74,71
5.552137,6.284849,0.732712,66,72
5.563747,5.853996,0.290249,55,73
5.853996,6.157140,0.303143,69,106
6.133920,6.749249,0.615329,62,92
6.157140,6.702809,0.545669,69,72
6.342899,6.505439,0.162540,50,43
6.447389,6.760859,0.313469,76,87
6.749249,7.062718,0.313469,59,95
6.749249,7.085938,0.336689,74,66
6.749249,7.132378,0.383129,62,56
7.051108,7.352967,0.301859,71,66
7.062718,7.619997,0.557279,59,64
7.411017,8.712619,1.301601,54,99
7.411017,8.712619,1.301601,70,83
7.480677,7.933466,0.452789,73,56
