start_s,end_s,duration_s,pitch_midi,velocity
0.139320,0.394739,0.255420,77,66
0.139320,1.102948,0.963628,49,92
0.394739,0.952018,0.557279,65,70
0.626939,1.253878,0.626939,68,76
1.102948,1.532517,0.429569,60,44
1.102948,2.067860,0.964912,48,81
1.114558,1.416417,0.301859,75,71
1.346757,1.973696,0.626939,63,71
1.567347,2.276839,0.709493,68,83
2.056250,2.300059,0.243810,73,73
2.125910,3.031488,0.905578,46,80
2.300059,2.799288,0.499229,61,84
2.543869,2.822508,0.278639,72,77
2.776068,3.089538,0.313469,70,83
3.031488,3.495887,0.464399,72,74
3.031488,3.519107,0.487619,45,95
3.507497,3.984790,0.477293,68,61
3.519107,3.704867,0.185760,56,44
3.519107,4.170550,0.651443,44,79
3.984790,4.147330,0.162540,68,42
3.984790,4.275039,0.290249,70,73
3.984790,4.948418,0.963628,42,86
4.216990,4.460799,0.243810,72,81
4.460799,4.623339,0.162540,61,37
4.460799,4.739439,0.278639,73,67
4.692999,4.936808,0.243810,78,70
4.901978,5.041298,0.139320,44,87
4.948418,5.169008,0.220590,77,62
5.052908,5.935266,0.882358,44,84
5.192228,5.459257,0.267029,73,70
5.436037,5.703067,0.267029,75,67
5.436037,5.830776,0.394739,63,47
5.668237,5.946876,0.278639,72,81
5.912046,6.099090,0.187044,58,40
5.912046,6.168750,0.256703,70,55
5.912046,6.633149,0.721102,46,88
6.145530,6.470609,0.325079,72,77
6.377729,6.737639,0.359909,74,73
6.633149,6.842128,0.208980,65,50
6.633149,6.876958,0.243810,77,87
6.633149,7.712877,1.079728,46,81
6.876958,7.213648,0.336689,77,79
6.911788,7.712877,0.801088,82,67
