start_s,end_s,duration_s,pitch_midi,velocity
0.139320,0.777868,0.638549,69,73
0.162540,0.417959,0.255420,77,60
0.162540,0.824308,0.661769,41,94
0.812698,1.462857,0.650159,60,50
0.824308,1.102948,0.278639,72,54
0.824308,1.126168,0.301859,41,62
0.824308,1.741497,0.917188,48,76
1.149388,1.311927,0.162540,72,33
1.311927,1.486077,0.174150,72,73
1.486077,1.660227,0.174150,81,52
1.486077,1.834376,0.348299,77,48
1.486077,2.485819,0.999742,53,86
1.648617,1.799546,0.150930,79,45
1.834376,2.114300,0.279923,77,71
1.986590,2.149130,0.162540,72,72
2.149130,2.323279,0.174150,72,54
2.149130,2.392939,0.243810,84,77
2.149130,2.416159,0.267029,81,78
2.311669,2.497429,0.185760,77,86
2.474209,2.706409,0.232200,82,78
2.485819,2.764459,0.278639,79,80
2.648359,2.985048,0.336689,72,82
2.810898,3.112758,0.301859,81,75
2.810898,3.321737,0.510839,77,77
2.985048,3.147588,0.162540,72,107
3.147588,3.356567,0.208980,84,68
3.147588,3.495887,0.348299,72,72
3.321737,3.495887,0.174150,77,93
3.495887,3.658427,0.162540,72,56
3.495887,3.820966,0.325079,77,52
3.495887,4.240210,0.744322,53,86
3.658427,3.809356,0.150930,81,48
3.820966,4.089280,0.268313,77,66
3.984790,4.158940,0.174150,72,62
4.147330,4.298259,0.150930,79,45
4.147330,4.309869,0.162540,70,76
4.147330,4.425969,0.278639,51,49
4.147330,4.484019,0.336689,75,53
4.205380,5.064518,0.859138,39,71
4.309869,4.495629,0.185760,70,67
4.484019,4.634949,0.150930,75,61
4.484019,5.099348,0.615329,46,78
4.809098,4.960028,0.150930,82,60
4.809098,5.006468,0.197370,79,63
4.809098,5.099348,0.290249,63,41
4.809098,5.482477,0.673379,51,92
4.983248,5.157398,0.174150,70,58
5.145788,5.308327,0.162540,79,57
5.319937,5.517307,0.197370,70,68
5.482477,5.645017,0.162540,87,73
5.482477,5.668237,0.185760,79,68
5.482477,5.726287,0.243810,82,60
5.482477,6.505439,1.022962,51,78
5.656627,5.842386,0.185760,77,71
5.819166,6.052650,0.233483,75,69
5.971380,6.145530,0.174150,70,91
6.145530,6.308069,0.162540,81,61
6.145530,6.400949,0.255420,70,54
6.145530,6.482219,0.336689,89,57
6.203580,7.051108,0.847528,41,98
6.563489,6.923398,0.359909,69,41
