start_s,end_s,duration_s,pitch_midi,velocity
0.150930,0.336689,0.185760,72,56
0.150930,0.348299,0.197370,55,78
0.150930,0.545669,0.394739,60,58
0.150930,0.952018,0.801088,52,76
0.162540,0.952018,0.789478,48,78
0.336689,0.696599,0.359909,36,50
0.348299,0.650159,0.301859,67,64
0.348299,0.952018,0.603719,55,71
0.545669,0.801088,0.255420,72,67
0.545669,0.847528,0.301859,60,50
0.754649,0.952018,0.197370,77,75
0.952018,1.091338,0.139320,64,45
0.952018,1.102948,0.150930,76,54
0.952018,1.149388,0.197370,60,51
0.952018,1.346757,0.394739,55,72
0.952018,1.544127,0.592109,52,81
0.952018,1.555737,0.603719,48,76
1.079728,1.428027,0.348299,36,47
1.149388,1.346757,0.197370,72,73
1.149388,1.544127,0.394739,60,55
1.346757,1.555737,0.208980,72,40
1.346757,1.567347,0.220590,55,67
1.346757,1.602177,0.255420,67,71
1.544127,2.346499,0.802372,60,54
1.544127,2.358109,0.813982,52,74
1.555737,1.787937,0.232200,72,57
1.555737,2.358109,0.802372,48,82
1.567347,2.346499,0.779152,56,72
1.753107,2.091080,0.337973,67,63
1.950476,2.114300,0.163824,84,59
2.149130,2.300059,0.150930,79,59
2.149130,2.311669,0.162540,67,45
2.346499,2.509039,0.162540,60,43
2.346499,3.135978,0.789478,56,68
2.358109,2.543869,0.185760,77,54
2.358109,3.147588,0.789478,52,78
2.358109,3.159198,0.801088,48,81
2.543869,2.729629,0.185760,76,67
2.741239,2.950218,0.208980,74,69
2.950218,3.147588,0.197370,60,56
2.950218,3.147588,0.197370,72,79
3.135978,3.356567,0.220590,55,73
3.147588,3.356567,0.208980,72,57
3.147588,3.553937,0.406349,60,59
3.147588,3.960286,0.812698,52,75
3.159198,3.960286,0.801088,48,75
3.205638,3.646817,0.441179,36,50
3.356567,3.670037,0.313469,67,61
3.356567,3.960286,0.603719,55,72
3.553937,3.820966,0.267029,72,66
3.553937,3.867406,0.313469,60,50
3.751307,3.948676,0.197370,77,75
3.960286,4.112500,0.152214,76,56
3.960286,4.147330,0.187044,60,51
3.960286,4.344699,0.384413,55,73
3.960286,4.542069,0.581783,52,80
3.960286,4.553679,0.593393,48,76
4.042840,4.425969,0.383129,36,46
4.147330,4.437579,0.290249,72,64
4.147330,4.542069,0.394739,60,57
4.344699,4.588509,0.243810,55,68
4.344699,4.588509,0.243810,67,73
4.542069,4.751049,0.208980,57,67
4.542069,4.960028,0.417959,60,53
4.542069,5.122568,0.580499,45,48
4.542069,5.343157,0.801088,52,74
4.553679,4.692999,0.139320,72,52
4.553679,5.354767,0.801088,48,80
4.739439,5.076128,0.336689,67,62
4.751049,5.343157,0.592109,57,62
4.960028,5.157398,0.197370,60,50
4.960028,5.192228,0.232200,72,65
5.145788,5.285107,0.139320,69,42
5.145788,5.296717,0.150930,81,55
5.354767,5.494087,0.139320,62,38
5.354767,5.761117,0.406349,53,72
5.354767,5.923656,0.568889,50,65
5.354767,5.946876,0.592109,56,71
5.447647,5.714677,0.267029,41,50
5.761117,5.923656,0.162540,77,65
5.761117,5.958486,0.197370,53,69
5.946876,6.621539,0.674663,48,77
5.958486,6.145530,0.187044,72,51
5.958486,6.621539,0.663053,52,77
5.958486,6.621539,0.663053,55,58
5.958486,6.621539,0.663053,60,64
6.331289,6.609929,0.278639,36,40
