start_s,end_s,duration_s,pitch_midi,velocity
0.150930,0.290249,0.139320,72,47
0.150930,0.383129,0.232200,55,84
0.150930,1.219048,1.068118,60,63
0.150930,1.474467,1.323537,48,78
0.371519,0.650159,0.278639,67,58
0.383129,1.253878,0.870748,55,70
0.592109,0.824308,0.232200,65,72
0.789478,0.940408,0.150930,36,52
0.824308,1.044898,0.220590,64,79
1.044898,1.416417,0.371519,65,68
1.253878,1.474467,0.220590,60,54
1.253878,1.660227,0.406349,67,77
1.253878,1.892426,0.638549,55,58
1.474467,1.857596,0.383129,60,56
1.474467,1.880816,0.406349,48,64
1.486077,1.764717,0.278639,72,83
1.718277,1.938866,0.220590,74,77
1.927256,2.590309,0.663053,38,44
1.938866,2.590309,0.651443,57,76
1.938866,2.810898,0.872032,50,73
1.938866,2.810898,0.872032,53,83
1.938866,2.810898,0.872032,62,60
2.149130,2.311669,0.162540,72,53
2.369719,2.567089,0.197370,77,64
2.590309,2.776068,0.185760,76,66
2.590309,2.810898,0.220590,57,77
2.810898,3.043098,0.232200,59,77
2.810898,3.704867,0.893968,53,68
2.810898,3.716477,0.905578,50,64
2.810898,3.716477,0.905578,62,61
3.043098,3.704867,0.661769,59,78
3.240468,3.739697,0.499229,67,90
3.704867,3.902236,0.197370,53,47
3.704867,4.727829,1.022962,60,55
3.704867,5.401207,1.696341,48,67
3.716477,3.855796,0.139320,62,50
3.716477,4.751049,1.034572,55,57
3.716477,4.762659,1.046182,50,60
3.925456,4.182160,0.256703,67,52
3.960286,4.251820,0.291533,43,45
4.147330,4.367919,0.220590,65,72
4.333089,4.507239,0.174150,36,47
4.367919,4.588509,0.220590,64,72
4.588509,4.971638,0.383129,65,67
4.809098,5.041298,0.232200,60,49
4.809098,5.180618,0.371519,67,79
4.809098,5.494087,0.684989,55,52
5.041298,5.308327,0.267029,72,81
5.041298,5.494087,0.452789,60,50
5.261888,5.482477,0.220590,74,75
5.261888,5.494087,0.232200,62,40
5.482477,6.366119,0.883642,52,74
5.494087,5.633407,0.139320,76,54
5.494087,5.645017,0.150930,64,56
5.494087,6.273239,0.779152,62,47
5.494087,6.366119,0.872032,55,71
5.494087,6.366119,0.872032,60,71
5.528917,5.912046,0.383129,43,49
5.703067,5.923656,0.220590,75,69
5.923656,6.099090,0.175434,43,58
5.935266,6.145530,0.210263,76,69
6.133920,6.319679,0.185760,79,66
6.366119,6.818908,0.452789,55,71
6.366119,7.051108,0.684989,61,72
6.366119,7.294917,0.928798,53,73
6.458999,6.702809,0.243810,43,42
6.598319,6.807298,0.208980,76,71
6.818908,7.062718,0.243810,74,60
6.818908,7.364577,0.545669,55,75
7.039498,7.260088,0.220590,71,83
7.051108,7.202038,0.150930,61,57
7.260088,7.561947,0.301859,72,50
7.260088,7.585167,0.325079,60,69
7.271698,9.072528,1.800830,48,76
7.283307,8.724229,1.440921,36,50
7.364577,9.072528,1.707951,55,74
7.376187,7.538727,0.162540,64,37
7.376187,9.072528,1.696341,52,80
7.585167,7.828976,0.243810,60,72
7.701267,7.887026,0.185760,64,46
7.817366,7.981190,0.163824,84,66
7.828976,9.002868,1.173892,60,67
8.851938,9.014478,0.162540,76,38
