start_s,end_s,duration_s,pitch_midi,velocity
0.150930,0.313469,0.162540,76,52
0.150930,0.499229,0.348299,55,59
0.150930,0.708209,0.557279,60,59
0.162540,0.684989,0.522449,53,80
0.162540,0.777868,0.615329,48,76
0.325079,0.510839,0.185760,72,55
0.348299,0.510839,0.162540,36,45
0.487619,0.766259,0.278639,67,57
0.499229,0.731429,0.232200,55,60
0.673379,0.998458,0.325079,62,46
0.673379,1.346757,0.673379,50,79
0.673379,1.346757,0.673379,58,77
0.684989,1.358367,0.673379,53,75
0.998458,1.311927,0.313469,62,60
1.010068,1.160998,0.150930,46,50
1.010068,1.184218,0.174150,74,59
1.346757,1.509297,0.162540,76,54
1.346757,1.915646,0.568889,60,59
1.358367,1.706667,0.348299,55,55
1.358367,1.892426,0.534059,53,72
1.358367,1.998200,0.639833,48,72
1.520907,1.718277,0.197370,36,48
1.520907,1.729887,0.208980,72,55
1.695057,2.021420,0.326363,67,55
1.706667,1.962086,0.255420,55,57
1.880816,2.369719,0.488903,62,42
1.880816,2.555479,0.674663,58,73
1.892426,2.543869,0.651443,53,70
1.962086,2.555479,0.593393,50,73
2.207180,2.358109,0.150930,76,67
2.369719,2.532259,0.162540,74,67
2.369719,2.543869,0.174150,62,59
2.543869,2.718019,0.174150,56,70
2.555479,2.892168,0.336689,58,66
2.555479,3.228858,0.673379,51,74
2.718019,2.857338,0.139320,75,58
2.718019,3.054708,0.336689,56,71
2.741239,2.880558,0.139320,63,46
2.892168,3.124368,0.232200,70,58
2.892168,3.333347,0.441179,58,52
3.054708,3.310127,0.255420,68,54
3.054708,3.762917,0.708209,56,77
3.054708,3.844186,0.789478,53,76
3.066318,3.879016,0.812698,61,77
3.403007,3.670037,0.267029,77,66
3.414617,3.553937,0.139320,65,40
3.762917,3.925456,0.162540,56,74
3.762917,4.089280,0.326363,51,87
3.762917,4.089280,0.326363,58,71
3.925456,4.251820,0.326363,56,70
3.937066,4.100890,0.163824,63,46
4.089280,4.333089,0.243810,70,59
4.089280,4.507239,0.417959,58,51
4.089280,4.681389,0.592109,51,53
4.251820,4.437579,0.185760,56,78
4.263429,4.518849,0.255420,68,55
4.263429,4.774268,0.510839,53,76
4.263429,4.960028,0.696599,61,77
4.437579,4.948418,0.510839,56,66
4.600119,4.751049,0.150930,79,59
4.774268,4.960028,0.185760,53,70
4.774268,4.971638,0.197370,77,66
4.948418,5.099348,0.150930,64,37
4.960028,5.261888,0.301859,43,42
4.960028,5.819166,0.859138,52,81
4.960028,5.912046,0.952018,62,54
4.960028,5.971380,1.011352,60,77
4.960028,5.982990,1.022962,55,80
5.296717,5.586967,0.290249,72,50
5.528917,5.749507,0.220590,43,37
5.633407,5.807556,0.174150,89,62
5.807556,5.958486,0.150930,88,64
5.819166,6.087480,0.268313,52,78
5.971380,6.203580,0.232200,72,44
5.971380,6.621539,0.650159,48,84
5.971380,6.621539,0.650159,60,72
5.982990,6.621539,0.638549,55,76
6.087480,6.621539,0.534059,52,89
6.250020,6.470609,0.220590,36,48
