start_s,end_s,duration_s,pitch_midi,velocity
0.139320,0.301859,0.162540,44,52
0.150930,0.301859,0.150930,81,52
0.150930,0.557279,0.406349,64,49
0.150930,0.568889,0.417959,59,75
0.150930,0.766259,0.615329,52,88
0.162540,0.383129,0.220590,40,55
0.162540,0.568889,0.406349,56,90
0.348299,0.510839,0.162540,80,54
0.557279,0.766259,0.208980,64,58
0.568889,0.777868,0.208980,59,65
0.568889,0.835918,0.267029,76,64
0.568889,0.975238,0.406349,56,79
0.638549,1.637007,0.998458,40,51
0.766259,0.975238,0.208980,81,83
0.766259,1.393197,0.626939,52,87
0.777868,1.288707,0.510839,59,53
0.975238,1.184218,0.208980,80,68
0.975238,1.486077,0.510839,56,59
1.184218,1.602177,0.417959,76,79
1.381587,1.602177,0.220590,71,91
1.393197,1.602177,0.208980,52,88
1.393197,1.998200,0.605003,59,42
1.602177,1.811156,0.208980,64,78
1.602177,1.880816,0.278639,71,54
1.602177,2.636749,1.034572,52,72
1.811156,2.230400,0.419243,63,81
1.998200,2.636749,0.638549,59,90
2.230400,2.427769,0.197370,64,64
2.427769,2.625139,0.197370,63,89
2.625139,2.845728,0.220590,63,83
2.636749,2.845728,0.208980,59,101
2.636749,2.996658,0.359909,52,56
2.834118,3.089538,0.255420,57,82
2.845728,3.368177,0.522449,63,57
2.845728,3.472667,0.626939,59,76
3.066318,3.356567,0.290249,52,45
3.089538,3.472667,0.383129,56,91
3.124368,3.344957,0.220590,40,45
3.461057,3.611987,0.150930,81,53
3.461057,4.692999,1.231941,49,71
3.472667,3.681647,0.208980,56,78
3.472667,3.797746,0.325079,37,49
3.472667,3.984790,0.512123,61,52
3.472667,4.704609,1.231941,59,66
3.681647,3.890626,0.208980,56,82
3.879016,4.240210,0.361193,76,72
3.890626,4.809098,0.918472,56,60
4.066060,4.275039,0.208980,81,80
4.275039,4.472409,0.197370,80,60
4.275039,4.484019,0.208980,61,48
4.472409,4.901978,0.429569,76,79
4.484019,4.774268,0.290249,61,41
4.495629,4.774268,0.278639,81,46
4.692999,5.041298,0.348299,49,47
4.704609,4.913588,0.208980,71,91
4.704609,5.041298,0.336689,59,51
4.901978,5.052908,0.150930,61,43
4.913588,5.273498,0.359909,71,57
4.925198,5.122568,0.197370,64,89
5.122568,5.540527,0.417959,63,79
5.319937,5.946876,0.626939,59,91
5.540527,5.737897,0.197370,64,73
5.737897,5.946876,0.208980,63,86
5.946876,6.157140,0.210263,59,99
5.946876,6.679589,0.732712,63,65
6.133920,6.389339,0.255420,57,82
6.157140,6.749249,0.592109,59,78
6.389339,6.784078,0.394739,56,90
6.772468,6.981448,0.208980,48,89
6.818908,7.805756,0.986848,57,61
6.969838,7.120768,0.150930,80,48
6.981448,7.190428,0.208980,59,82
6.981448,8.155340,1.173892,48,72
7.190428,7.399407,0.208980,59,76
7.190428,7.805756,0.615329,64,60
7.225258,7.492287,0.267029,45,45
7.399407,7.573557,0.174150,71,61
7.399407,7.817366,0.417959,59,78
7.805756,8.132120,0.326363,64,63
7.805756,8.213390,0.407633,57,58
7.805756,8.225000,0.419243,76,61
7.817366,8.225000,0.407633,59,52
8.213390,8.979648,0.766259,57,54
8.213390,9.049308,0.835918,47,82
8.213390,9.049308,0.835918,69,67
8.225000,8.480419,0.255420,76,54
8.225000,9.049308,0.824308,59,63
9.049308,9.502097,0.452789,75,64
9.049308,9.653027,0.603719,69,68
9.049308,9.664637,0.615329,47,87
9.049308,9.687857,0.638549,59,63
9.374387,9.560147,0.185760,57,47
9.664637,10.095490,0.430853,47,50
9.664637,10.710819,1.046182,61,55
9.676247,10.037440,0.361193,77,51
9.676247,10.548279,0.872032,68,47
9.676247,10.710819,1.034572,49,91
9.687857,10.025830,0.337973,59,42
