start_s,end_s,duration_s,pitch_midi,velocity
0.139320,0.615329,0.476009,48,68
0.150930,0.313469,0.162540,60,45
0.150930,0.325079,0.174150,64,73
0.313469,0.754649,0.441179,50,58
0.325079,0.476009,0.150930,65,66
0.476009,0.638549,0.162540,52,74
0.476009,0.743039,0.267029,67,70
0.638549,0.801088,0.162540,53,78
0.638549,0.940408,0.301859,69,68
0.801088,1.172608,0.371519,53,58
0.812698,0.986848,0.174150,71,67
0.812698,1.137778,0.325079,55,70
0.975238,1.451247,0.476009,57,63
0.986848,1.172608,0.185760,72,69
1.137778,1.311927,0.174150,74,63
1.137778,1.323537,0.185760,55,55
1.149388,1.311927,0.162540,59,81
1.311927,1.462857,0.150930,76,71
1.311927,1.637007,0.325079,60,73
1.474467,1.927256,0.452789,50,55
1.486077,1.637007,0.150930,65,62
1.637007,1.776327,0.139320,60,48
1.637007,1.811156,0.174150,52,72
1.637007,1.927256,0.290249,67,72
1.811156,2.102690,0.291533,69,67
1.811156,2.323279,0.512123,53,63
1.985306,2.300059,0.314753,55,70
1.986590,2.137520,0.150930,71,67
2.137520,2.334889,0.197370,72,69
2.137520,2.613529,0.476009,57,61
2.300059,2.474209,0.174150,55,56
2.311669,2.474209,0.162540,59,81
2.311669,2.497429,0.185760,74,64
2.474209,2.625139,0.150930,76,71
2.474209,2.810898,0.336689,60,69
2.636749,3.077928,0.441179,62,63
2.648359,2.810898,0.162540,77,70
2.810898,3.066318,0.255420,79,67
2.810898,3.101148,0.290249,60,62
2.810898,3.135978,0.325079,52,89
3.135978,3.321737,0.185760,53,91
3.135978,3.437837,0.301859,81,54
3.321737,3.937066,0.615329,53,61
3.484277,3.623597,0.139320,67,50
3.484277,3.820966,0.336689,62,80
3.484277,4.112500,0.628223,55,86
3.646817,4.042840,0.396023,43,47
3.820966,4.100890,0.279923,77,73
3.820966,4.147330,0.326363,62,94
4.135720,4.321479,0.185760,79,42
4.135720,4.484019,0.348299,56,88
4.147330,4.472409,0.325079,63,70
4.437579,4.646559,0.208980,44,42
4.472409,4.646559,0.174150,63,81
4.472409,4.751049,0.278639,82,44
4.484019,4.646559,0.162540,56,85
4.646559,4.809098,0.162540,56,80
4.646559,4.820708,0.174150,63,82
4.646559,4.878758,0.232200,44,44
4.809098,5.041298,0.232200,68,46
4.809098,5.041298,0.232200,79,50
4.809098,5.494087,0.684989,56,85
4.820708,5.552137,0.731429,63,66
5.064518,5.389597,0.325079,44,51
5.145788,5.447647,0.301859,77,79
5.482477,5.749507,0.267029,76,71
5.494087,5.819166,0.325079,55,90
5.645017,6.308069,0.663053,60,81
5.807556,6.041040,0.233483,84,65
5.807556,6.087480,0.279923,72,57
5.819166,6.133920,0.314753,55,56
5.830776,6.238410,0.407633,64,73
6.133920,6.470609,0.336689,55,90
6.145530,6.400949,0.255420,76,68
6.308069,6.470609,0.162540,72,32
6.308069,6.981448,0.673379,60,71
6.470609,6.714419,0.243810,84,62
6.470609,6.726029,0.255420,72,45
6.470609,6.818908,0.348299,55,61
6.482219,6.923398,0.441179,64,62
6.644759,6.818908,0.174150,77,82
6.818908,7.074328,0.255420,76,67
6.818908,7.271698,0.452789,55,82
6.981448,7.318137,0.336689,60,92
7.120768,7.260088,0.139320,72,47
7.143988,7.306527,0.162540,84,65
7.155598,7.434237,0.278639,64,70
7.318137,7.480677,0.162540,60,92
7.480677,8.085680,0.605003,55,99
7.480677,8.085680,0.605003,60,82
