start_s,end_s,duration_s,pitch_midi,velocity
0.139320,0.545669,0.406349,72,74
0.150930,0.476009,0.325079,76,54
0.150930,0.499229,0.348299,74,58
0.348299,0.534059,0.185760,83,85
0.545669,0.731429,0.185760,72,65
0.545669,0.754649,0.208980,84,83
0.754649,1.137778,0.383129,74,81
0.754649,1.137778,0.383129,79,73
0.766259,1.149388,0.383129,71,86
1.149388,1.555737,0.406349,72,94
1.544127,1.915646,0.371519,77,65
1.555737,1.950476,0.394739,72,78
1.555737,2.137520,0.581783,69,80
1.753107,1.927256,0.174150,83,72
1.950476,2.160740,0.210263,72,70
1.950476,2.160740,0.210263,84,85
2.149130,2.532259,0.383129,76,75
2.149130,2.543869,0.394739,67,97
2.160740,2.543869,0.383129,72,84
2.543869,2.950218,0.406349,60,92
2.543869,2.950218,0.406349,72,66
2.543869,2.961828,0.417959,67,86
2.555479,2.938608,0.383129,64,76
2.950218,3.356567,0.406349,60,72
2.950218,3.356567,0.406349,65,65
2.950218,3.368177,0.417959,62,71
2.961828,3.298517,0.336689,67,46
3.135978,3.321737,0.185760,83,62
3.344957,3.519107,0.174150,84,72
3.356567,3.553937,0.197370,60,69
3.356567,3.553937,0.197370,65,62
3.368177,3.553937,0.185760,62,68
3.553937,3.948676,0.394739,67,85
3.553937,4.333089,0.779152,61,73
3.553937,4.344699,0.790762,59,80
3.553937,4.344699,0.790762,65,48
3.948676,4.356309,0.407633,67,81
4.333089,4.739439,0.406349,69,83
4.344699,4.751049,0.406349,60,81
4.344699,4.960028,0.615329,65,70
4.542069,4.716219,0.174150,83,66
4.739439,4.925198,0.185760,81,70
4.739439,4.960028,0.220590,69,76
4.751049,4.948418,0.197370,60,76
4.948418,5.540527,0.592109,61,80
4.948418,5.540527,0.592109,67,71
4.960028,5.099348,0.139320,69,46
4.960028,5.157398,0.197370,65,58
5.157398,5.343157,0.185760,77,71
5.157398,5.505697,0.348299,65,52
5.343157,5.563747,0.220590,75,87
5.552137,5.749507,0.197370,60,73
5.552137,5.946876,0.394739,70,56
5.563747,5.772727,0.208980,74,66
5.668237,6.145530,0.477293,68,65
5.749507,5.994600,0.245093,72,65
5.749507,6.133920,0.384413,60,80
5.946876,6.226800,0.279923,70,77
6.133920,7.178818,1.044898,60,90
6.145530,6.900178,0.754649,72,58
6.145530,7.178818,1.033288,67,94
6.157140,7.178818,1.021678,64,76
