start_s,end_s,duration_s,pitch_midi,velocity
0.139320,0.615329,0.476009,54,90
0.150930,0.383129,0.232200,66,35
0.150930,0.568889,0.417959,82,52
0.383129,0.615329,0.232200,66,69
0.603719,0.789478,0.185760,83,64
0.615329,0.766259,0.150930,87,59
0.615329,1.079728,0.464399,54,95
0.847528,1.068118,0.220590,66,64
1.068118,1.311927,0.243810,66,41
1.068118,1.497687,0.429569,82,50
1.079728,1.544127,0.464399,54,91
1.311927,1.544127,0.232200,66,75
1.532517,1.764717,0.232200,69,97
1.544127,1.787937,0.243810,66,64
1.544127,1.998200,0.454073,54,77
1.764717,1.986590,0.221873,69,68
1.776327,1.962086,0.185760,80,60
1.787937,1.985306,0.197370,66,61
1.998200,2.195570,0.197370,78,64
1.998200,2.462599,0.464399,54,89
1.998200,2.567089,0.568889,82,47
2.230400,2.427769,0.197370,66,61
2.462599,2.636749,0.174150,78,64
2.462599,2.915388,0.452789,54,86
2.683189,2.880558,0.197370,80,64
2.683189,2.915388,0.232200,83,77
2.915388,3.101148,0.185760,78,57
2.915388,3.310127,0.394739,82,45
2.915388,3.391397,0.476009,54,90
3.147588,3.391397,0.243810,66,59
3.391397,3.577157,0.185760,73,61
3.391397,3.588767,0.197370,78,59
3.391397,3.611987,0.220590,70,91
3.391397,3.623597,0.232200,66,44
3.391397,3.832576,0.441179,54,81
3.611987,3.855796,0.243810,72,74
3.611987,3.937066,0.325079,69,78
3.623597,3.844186,0.220590,66,57
3.844186,4.054450,0.210263,80,60
3.844186,4.298259,0.454073,47,93
3.855796,3.984790,0.128994,71,54
3.855796,4.298259,0.442463,75,58
4.066060,4.298259,0.232200,59,79
4.298259,4.530459,0.232200,59,44
4.298259,4.669779,0.371519,80,52
4.298259,4.692999,0.394739,75,60
4.298259,4.762659,0.464399,47,92
4.309869,4.472409,0.162540,71,61
4.530459,4.960028,0.429569,59,69
4.762659,4.948418,0.185760,82,55
4.762659,5.006468,0.243810,61,49
4.762659,5.238668,0.476009,49,91
4.762659,5.238668,0.476009,77,52
5.006468,5.238668,0.232200,61,83
5.227058,5.459257,0.232200,82,60
5.238668,5.459257,0.220590,61,52
5.238668,5.494087,0.255420,77,63
5.238668,5.691457,0.452789,49,89
5.459257,5.691457,0.232200,61,85
5.691457,5.923656,0.232200,62,47
5.691457,5.923656,0.232200,78,67
5.691457,6.145530,0.454073,50,87
5.923656,6.145530,0.221873,62,81
6.145530,6.377729,0.232200,62,46
6.145530,6.377729,0.232200,78,64
6.145530,6.621539,0.476009,50,86
6.377729,6.853738,0.476009,62,71
6.609929,7.074328,0.464399,80,52
6.621539,6.842128,0.220590,76,59
6.621539,6.911788,0.290249,64,40
6.621539,7.085938,0.464399,52,90
7.074328,7.480677,0.406349,80,49
7.085938,7.306527,0.220590,76,63
7.085938,7.550337,0.464399,52,88
7.538727,8.062460,0.523733,82,46
7.538727,8.248220,0.709493,54,99
