start_s,end_s,duration_s,pitch_midi,velocity
0.150930,0.313469,0.162540,35,30
0.150930,0.905578,0.754649,59,58
0.150930,0.917188,0.766259,47,88
0.150930,0.917188,0.766259,54,77
0.150930,0.975238,0.824308,51,83
0.162540,0.348299,0.185760,42,34
0.162540,0.801088,0.638549,63,46
0.359909,0.510839,0.150930,87,61
0.626939,0.824308,0.197370,35,55
0.905578,1.404807,0.499229,64,49
0.905578,1.660227,0.754649,59,71
0.905578,1.671837,0.766259,56,83
0.917188,1.323537,0.406349,47,60
0.917188,1.578957,0.661769,40,45
0.975238,1.404807,0.429569,52,92
1.393197,1.602177,0.208980,80,64
1.393197,1.637007,0.243810,83,75
1.404807,1.567347,0.162540,64,45
1.404807,1.660227,0.255420,52,85
1.497687,1.648617,0.150930,47,59
1.660227,1.799546,0.139320,51,81
1.660227,1.811156,0.150930,42,38
1.660227,2.404549,0.744322,54,75
1.660227,2.404549,0.744322,59,57
1.660227,2.416159,0.755932,47,87
1.799546,2.450989,0.651443,51,82
1.845986,2.265229,0.419243,63,40
2.114300,2.300059,0.185760,35,54
2.392939,3.182418,0.789478,56,84
2.404549,2.601919,0.197370,44,38
2.404549,2.659969,0.255420,59,77
2.416159,2.613529,0.197370,40,50
2.416159,2.636749,0.220590,47,61
2.416159,2.648359,0.232200,64,59
2.450989,2.659969,0.208980,52,91
2.648359,2.868948,0.220590,76,63
2.648359,2.938608,0.290249,64,58
2.659969,2.903778,0.243810,59,76
2.659969,3.147588,0.487619,52,84
2.741239,3.054708,0.313469,40,50
2.892168,3.147588,0.255420,75,66
2.903778,3.147588,0.243810,59,70
2.996658,3.135978,0.139320,47,60
3.147588,3.414617,0.267029,51,85
3.147588,3.913846,0.766259,47,88
3.147588,3.913846,0.766259,59,59
3.147588,3.925456,0.777868,54,75
3.159198,3.809356,0.650159,63,45
3.403007,3.542327,0.139320,87,62
3.414617,3.960286,0.545669,51,82
3.623597,3.809356,0.185760,35,58
3.902236,4.646559,0.744322,56,84
3.913846,4.147330,0.233483,59,78
3.913846,4.321479,0.407633,47,60
3.913846,4.542069,0.628223,64,47
3.925456,4.565289,0.639833,40,47
3.960286,4.402749,0.442463,52,91
4.147330,4.402749,0.255420,59,75
4.391139,4.600119,0.208980,80,62
4.391139,4.623339,0.232200,83,77
4.402749,4.634949,0.232200,59,61
4.402749,4.658169,0.255420,52,86
4.634949,4.843928,0.208980,59,53
4.646559,4.785878,0.139320,66,44
4.646559,5.412817,0.766259,54,76
4.658169,4.890368,0.232200,61,48
4.658169,5.389597,0.731429,49,83
4.658169,5.424427,0.766259,52,73
4.890368,5.134178,0.243810,61,57
5.145788,5.343157,0.197370,82,69
5.401207,5.656627,0.255420,59,60
5.401207,5.656627,0.255420,63,37
5.401207,6.145530,0.744322,47,86
5.412817,5.900436,0.487619,54,68
5.424427,5.737897,0.313469,42,39
5.540527,6.296459,0.755932,51,76
5.645017,5.784337,0.139320,83,49
5.645017,5.784337,0.139320,90,57
5.656627,6.226800,0.570173,59,47
5.784337,6.052650,0.268313,35,44
5.900436,6.064260,0.163824,66,57
5.900436,6.087480,0.187044,88,70
5.900436,6.157140,0.256703,54,77
6.145530,6.331289,0.185760,47,53
6.145530,6.656369,0.510839,61,78
6.157140,6.389339,0.232200,64,64
6.157140,6.656369,0.499229,54,88
6.157140,6.807298,0.650159,42,53
6.389339,6.644759,0.255420,64,66
6.644759,6.795688,0.150930,87,60
6.644759,6.865348,0.220590,64,65
6.644759,6.876958,0.232200,83,75
6.656369,6.900178,0.243810,54,82
6.656369,6.900178,0.243810,61,70
6.900178,7.062718,0.162540,66,54
6.900178,7.155598,0.255420,54,88
6.900178,7.155598,0.255420,61,91
6.911788,7.143988,0.232200,64,63
7.143988,7.364577,0.220590,83,79
7.143988,7.573557,0.429569,64,59
7.155598,7.399407,0.243810,54,86
7.155598,7.399407,0.243810,61,79
7.155598,7.596777,0.441179,42,43
7.399407,7.643217,0.243810,61,78
7.399407,7.654827,0.255420,54,85
7.643217,8.097290,0.454073,47,48
7.654827,7.840586,0.185760,54,54
7.654827,7.898636,0.243810,62,85
7.654827,7.910246,0.255420,66,61
7.654827,8.201780,0.546953,71,50
7.654827,8.375929,0.721102,59,79
7.898636,8.410759,0.512123,62,85
7.910246,8.132120,0.221873,66,62
8.143730,8.526859,0.383129,64,70
8.410759,8.631349,0.220590,66,71
8.410759,8.654569,0.243810,61,88
8.410759,8.898378,0.487619,57,74
8.422369,9.107358,0.684989,45,48
8.631349,9.153798,0.522449,67,78
8.654569,8.875158,0.220590,64,49
8.654569,9.118968,0.464399,61,69
8.898378,9.142188,0.243810,69,71
8.898378,9.153798,0.255420,57,67
9.153798,9.316337,0.162540,47,36
9.153798,9.769127,0.615329,71,50
9.153798,10.594719,1.440921,59,93
9.153798,10.594719,1.440921,66,72
9.165408,10.594719,1.429311,63,83
10.211590,10.548279,0.336689,71,48
