start_s,end_s,duration_s,pitch_midi,velocity
0.139320,0.615329,0.476009,51,87
0.139320,0.789478,0.650159,55,77
0.162540,0.603719,0.441179,63,61
0.371519,0.510839,0.139320,82,58
0.615329,0.754649,0.139320,62,39
0.615329,0.766259,0.150930,77,53
0.615329,1.079728,0.464399,50,79
0.615329,1.265488,0.650159,53,72
0.835918,1.021678,0.185760,82,70
1.079728,1.242268,0.162540,75,60
1.079728,1.300317,0.220590,63,45
1.079728,1.428027,0.348299,60,40
1.079728,1.532517,0.452789,51,81
1.079728,1.660227,0.580499,48,73
1.300317,1.451247,0.150930,82,60
1.300317,1.509297,0.208980,63,56
1.532517,1.776327,0.243810,62,47
1.532517,1.986590,0.454073,46,82
1.532517,2.009810,0.477293,50,77
1.764717,1.950476,0.185760,82,62
1.986590,2.346499,0.359909,60,46
1.986590,2.915388,0.928798,48,75
1.986590,2.926998,0.940408,44,82
1.998200,2.149130,0.150930,72,52
2.218790,2.392939,0.174150,74,58
2.450989,2.706409,0.255420,63,53
2.450989,2.706409,0.255420,75,70
2.671579,2.892168,0.220590,80,80
2.915388,3.147588,0.232200,59,42
2.915388,3.855796,0.940408,47,87
2.926998,3.855796,0.928798,44,81
3.147588,3.356567,0.208980,77,61
3.391397,3.588767,0.197370,63,51
3.391397,3.611987,0.220590,75,67
3.623597,3.809356,0.185760,77,70
3.844186,4.216990,0.372803,59,58
3.844186,4.460799,0.616613,51,74
3.855796,4.066060,0.210263,63,39
3.855796,4.298259,0.442463,47,86
4.066060,4.298259,0.232200,63,59
4.298259,4.751049,0.452789,46,82
4.298259,4.774268,0.476009,49,80
4.530459,4.669779,0.139320,82,58
4.751049,5.238668,0.487619,44,81
4.762659,5.238668,0.476009,47,83
4.983248,5.250278,0.267029,63,52
5.238668,5.389597,0.150930,73,54
5.238668,5.714677,0.476009,42,81
5.238668,5.737897,0.499229,46,79
5.691457,6.540269,0.848812,44,75
5.703067,5.888826,0.185760,71,56
5.761117,6.737639,0.976522,40,79
5.923656,6.099090,0.175434,73,62
6.133920,6.354509,0.220590,63,46
6.145530,6.342899,0.197370,75,60
6.366119,6.586709,0.220590,80,70
6.609929,6.784078,0.174150,78,58
6.621539,7.573557,0.952018,42,89
6.842128,6.993058,0.150930,80,50
7.294917,7.434237,0.139320,85,72
7.538727,7.747707,0.208980,80,48
7.538727,7.759317,0.220590,56,59
7.538727,8.201780,0.663053,44,93
8.201780,8.584909,0.383129,44,99
