start_s,end_s,duration_s,pitch_midi,velocity
0.150930,0.371519,0.220590,58,96
0.162540,0.371519,0.208980,65,68
0.162540,0.534059,0.371519,72,67
0.371519,0.592109,0.220590,65,68
0.371519,1.439637,1.068118,58,80
0.441179,0.731429,0.290249,46,51
0.568889,0.766259,0.197370,84,73
0.592109,0.986848,0.394739,65,60
0.789478,0.940408,0.150930,70,45
0.789478,0.940408,0.150930,82,70
0.998458,1.207438,0.208980,81,81
1.219048,1.439637,0.220590,79,90
1.439637,1.660227,0.220590,77,88
1.439637,1.834376,0.394739,58,62
1.660227,1.892426,0.232200,76,91
1.869206,2.079470,0.210263,57,96
1.869206,2.694799,0.825592,65,68
2.079470,2.509039,0.429569,72,76
2.079470,3.542327,1.462857,57,74
2.288449,2.648359,0.359909,70,75
2.509039,3.043098,0.534059,72,77
2.718019,3.588767,0.870748,69,86
2.961828,3.530717,0.568889,65,59
3.588767,4.008010,0.419243,67,66
3.588767,4.646559,1.057792,62,65
3.588767,5.064518,1.475751,55,72
3.797746,4.251820,0.454073,70,72
3.973180,4.692999,0.719819,43,52
4.008010,4.216990,0.208980,77,65
4.008010,4.333089,0.325079,67,43
4.216990,4.437579,0.220590,76,87
4.425969,4.588509,0.162540,67,45
4.437579,4.646559,0.208980,76,82
4.646559,4.855538,0.208980,74,73
4.646559,5.052908,0.406349,62,58
4.867148,5.238668,0.371519,72,82
5.076128,5.296717,0.220590,70,95
5.087738,5.227058,0.139320,67,52
5.296717,5.494087,0.197370,70,63
5.296717,5.888826,0.592109,65,51
5.296717,6.354509,1.057792,54,87
5.296717,6.807298,1.510581,58,70
5.517307,5.726287,0.208980,73,59
5.726287,5.946876,0.220590,73,65
5.946876,6.145530,0.198654,75,91
6.145530,6.505439,0.359909,75,76
6.354509,6.575099,0.220590,54,78
6.354509,6.586709,0.232200,78,79
6.575099,6.993058,0.417959,54,67
6.586709,6.911788,0.325079,78,75
6.633149,6.923398,0.290249,42,43
6.795688,7.016278,0.220590,80,83
6.807298,6.946618,0.139320,58,53
7.004668,7.364577,0.359909,76,52
7.004668,8.770668,1.766000,53,94
7.051108,7.701267,0.650159,81,50
7.051108,8.770668,1.719561,60,88
7.271698,7.503897,0.232200,65,43
8.027630,8.410759,0.383129,81,44
8.039240,8.410759,0.371519,76,45
