start_s,end_s,duration_s,pitch_midi,velocity
0.150930,0.592109,0.441179,76,68
0.150930,0.684989,0.534059,67,96
0.150930,0.684989,0.534059,72,78
0.499229,0.684989,0.185760,88,74
0.684989,0.847528,0.162540,72,66
0.684989,0.847528,0.162540,91,74
0.684989,0.859138,0.174150,67,83
0.859138,0.998458,0.139320,55,35
0.859138,1.532517,0.673379,74,78
0.859138,1.613787,0.754649,67,93
0.870748,1.520907,0.650159,71,79
1.567347,1.753107,0.185760,69,85
1.567347,1.753107,0.185760,72,87
1.578957,1.753107,0.174150,64,77
1.741497,1.880816,0.139320,83,68
1.753107,1.915646,0.162540,72,76
1.753107,2.265229,0.512123,69,78
1.753107,2.276839,0.523733,64,82
1.915646,2.114300,0.198654,84,79
1.915646,2.218790,0.303143,72,67
2.079470,2.253620,0.174150,88,75
2.265229,2.926998,0.661769,71,83
2.265229,2.985048,0.719819,67,94
2.276839,2.973438,0.696599,64,87
2.973438,3.147588,0.174150,60,82
2.973438,3.333347,0.359909,69,85
2.985048,3.507497,0.522449,65,68
3.147588,3.519107,0.371519,60,84
3.333347,3.495887,0.162540,81,61
3.333347,3.681647,0.348299,69,75
3.344957,3.507497,0.162540,41,47
3.507497,3.646817,0.139320,65,55
3.507497,3.693257,0.185760,84,80
3.519107,3.681647,0.162540,60,78
3.681647,4.391139,0.709493,60,86
3.693257,3.855796,0.162540,45,43
3.693257,4.031230,0.337973,67,87
3.693257,4.367919,0.674663,64,78
3.855796,4.321479,0.465683,72,51
4.031230,4.460799,0.429569,67,71
4.216990,4.460799,0.243810,48,43
4.391139,4.739439,0.348299,62,80
4.391139,4.913588,0.522449,60,80
4.391139,4.913588,0.522449,65,68
4.739439,4.936808,0.197370,62,77
4.913588,5.064518,0.150930,65,55
4.913588,5.076128,0.162540,84,72
4.913588,5.227058,0.313469,60,56
4.936808,5.215448,0.278639,62,62
5.099348,5.273498,0.174150,71,76
5.099348,5.598577,0.499229,67,66
5.261888,5.749507,0.487619,69,72
5.273498,5.459257,0.185760,72,80
5.447647,5.784337,0.336689,74,75
5.459257,5.807556,0.348299,71,79
5.807556,5.982990,0.175434,67,90
5.807556,6.319679,0.512123,72,72
5.982990,6.319679,0.336689,68,89
6.145530,6.308069,0.162540,87,68
6.319679,6.470609,0.150930,72,66
6.319679,6.493829,0.174150,67,77
6.319679,6.493829,0.174150,91,72
6.493829,7.213648,0.719819,67,91
6.505439,7.213648,0.708209,70,84
6.517049,7.225258,0.708209,65,68
7.213648,7.387797,0.174150,63,60
7.213648,7.561947,0.348299,68,82
7.225258,7.863806,0.638549,65,65
7.387797,7.550337,0.162540,82,68
7.387797,7.921856,0.534059,63,73
7.561947,7.782537,0.220590,84,68
7.561947,7.921856,0.359909,68,81
7.736097,7.898636,0.162540,87,81
7.910246,8.375929,0.465683,82,53
7.921856,8.608129,0.686273,63,83
7.921856,8.631349,0.709493,67,86
8.619739,8.793888,0.174150,60,81
8.631349,8.968038,0.336689,68,82
8.631349,8.979648,0.348299,65,71
8.631349,9.153798,0.522449,62,70
8.793888,9.153798,0.359909,60,83
8.968038,9.118968,0.150930,80,62
8.968038,9.362777,0.394739,68,74
8.979648,9.293117,0.313469,65,63
9.153798,9.304727,0.150930,84,72
9.153798,9.316337,0.162540,62,61
9.153798,9.327947,0.174150,60,71
9.327947,9.664637,0.336689,61,81
9.327947,9.687857,0.359909,63,77
9.327947,9.687857,0.359909,70,80
9.664637,10.269639,0.605003,60,78
9.687857,9.991000,0.303143,63,60
9.687857,10.002610,0.314753,70,62
9.757517,10.002610,0.245093,51,49
10.037440,10.211590,0.174150,72,62
10.037440,10.734039,0.696599,62,77
10.037440,10.734039,0.696599,68,78
10.049050,10.385739,0.336689,65,67
10.211590,10.652769,0.441179,72,59
10.374129,10.548279,0.174150,89,64
10.385739,10.710819,0.325079,65,68
10.734039,10.931408,0.197370,75,61
10.734039,11.616397,0.882358,67,97
10.745649,11.616397,0.870748,63,85
10.745649,11.616397,0.870748,70,92
