start_s,end_s,duration_s,pitch_midi,velocity
0.150930,0.290249,0.139320,38,37
0.150930,0.429569,0.278639,50,76
0.150930,0.429569,0.278639,62,50
0.150930,1.253878,1.102948,45,75
0.150930,1.288707,1.137778,54,73
0.429569,0.580499,0.150930,62,78
0.429569,0.673379,0.243810,69,59
0.429569,1.253878,0.824308,50,72
0.568889,0.824308,0.255420,74,48
0.580499,0.859138,0.278639,62,62
0.870748,1.102948,0.232200,73,60
0.998458,1.335147,0.336689,69,84
1.300317,1.520907,0.220590,64,49
1.300317,1.811156,0.510839,59,48
1.300317,1.880816,0.580499,52,83
1.300317,2.392939,1.092622,56,74
1.300317,2.427769,1.127452,47,80
1.346757,1.520907,0.174150,35,42
1.880816,2.404549,0.523733,64,66
1.880816,2.439379,0.558563,52,82
2.195570,2.334889,0.139320,40,50
2.427769,3.530717,1.102948,47,71
2.439379,2.857338,0.417959,52,67
2.439379,3.043098,0.603719,61,65
2.439379,3.588767,1.149388,45,59
2.857338,3.089538,0.232200,71,58
2.857338,3.252078,0.394739,59,47
2.857338,3.565547,0.708209,52,66
3.089538,3.437837,0.348299,40,41
3.147588,3.426227,0.278639,69,72
3.286907,3.716477,0.429569,67,78
3.577157,4.704609,1.127452,50,74
3.588767,4.066060,0.477293,62,42
3.588767,4.716219,1.127452,45,78
3.588767,4.727829,1.139062,54,71
3.867406,4.147330,0.279923,69,75
4.147330,4.565289,0.417959,69,78
4.425969,4.646559,0.220590,62,50
4.425969,4.704609,0.278639,74,74
4.716219,5.552137,0.835918,45,78
4.716219,5.691457,0.975238,48,72
4.727829,6.563489,1.835660,41,71
4.867148,5.006468,0.139320,77,60
5.006468,5.192228,0.185760,76,52
5.157398,5.377987,0.220590,72,55
5.296717,5.645017,0.348299,69,72
5.436037,7.109158,1.673121,52,68
5.552137,7.004668,1.452531,45,56
5.563747,6.424169,0.860422,57,57
5.714677,5.877216,0.162540,59,71
5.877216,6.958228,1.081012,60,53
5.912046,6.377729,0.465683,48,46
6.145530,6.726029,0.580499,64,50
6.424169,6.876958,0.452789,69,53
6.424169,6.993058,0.568889,57,70
6.563489,6.958228,0.394739,41,51
6.726029,6.958228,0.232200,64,48
6.726029,6.993058,0.267029,74,73
6.981448,7.120768,0.139320,71,64
7.004668,7.167208,0.162540,44,84
7.062718,7.411017,0.348299,59,50
7.062718,9.339557,2.276839,47,75
7.109158,7.596777,0.487619,52,83
7.155598,7.376187,0.220590,76,42
7.167208,7.492287,0.325079,64,51
7.167208,9.351167,2.183960,44,79
7.178818,7.422627,0.243810,56,49
7.294917,7.585167,0.290249,71,46
7.422627,8.515249,1.092622,56,49
7.434237,8.352709,0.918472,68,54
7.457457,8.155340,0.697883,40,51
7.596777,7.747707,0.150930,59,45
7.596777,9.351167,1.754390,52,80
7.724487,7.863806,0.139320,64,62
7.863806,8.016020,0.152214,63,61
8.016020,8.538469,0.522449,64,54
8.422369,8.759059,0.336689,59,47
8.492029,8.747449,0.255420,35,48
8.538469,9.316337,0.777868,63,46
8.677789,9.060918,0.383129,56,43
9.060918,9.200238,0.139320,40,41
