start_s,end_s,duration_s,pitch_midi,velocity
0.139320,0.336689,0.197370,41,37
0.139320,0.534059,0.394739,62,77
0.150930,0.290249,0.139320,65,36
0.150930,0.557279,0.406349,60,73
0.150930,0.568889,0.417959,53,81
0.557279,1.114558,0.557279,60,84
0.568889,0.789478,0.220590,43,47
0.568889,0.940408,0.371519,72,43
0.568889,1.114558,0.545669,52,84
0.568889,1.114558,0.545669,55,81
0.824308,1.010068,0.185760,79,52
1.102948,1.358367,0.255420,62,52
1.102948,1.648617,0.545669,50,73
1.114558,1.381587,0.267029,55,86
1.114558,1.474467,0.359909,52,50
1.114558,1.695057,0.580499,59,82
1.335147,1.520907,0.185760,43,47
1.369977,1.532517,0.162540,79,49
1.381587,1.671837,0.290249,55,86
1.660227,1.799546,0.139320,64,46
1.660227,1.869206,0.208980,72,42
1.660227,2.718019,1.057792,52,76
1.671837,1.927256,0.255420,55,82
1.718277,2.625139,0.906862,60,79
1.811156,2.091080,0.279923,43,38
1.927256,2.056250,0.128994,64,46
1.927256,2.590309,0.663053,55,76
1.950476,2.125910,0.175434,40,44
2.056250,2.218790,0.162540,72,45
2.056250,2.265229,0.208980,84,72
2.601919,3.019878,0.417959,56,75
2.613529,3.031488,0.417959,58,72
2.718019,3.019878,0.301859,53,77
3.008268,3.577157,0.568889,51,71
3.019878,3.182418,0.162540,65,53
3.019878,3.565547,0.545669,56,82
3.019878,3.577157,0.557279,53,75
3.275298,3.495887,0.220590,79,52
3.565547,4.100890,0.535343,56,72
3.577157,4.089280,0.512123,51,49
3.577157,4.100890,0.523733,58,73
3.577157,4.112500,0.535343,53,79
4.089280,4.785878,0.696599,51,71
4.100890,4.298259,0.197370,58,51
4.100890,4.785878,0.684989,56,76
4.112500,4.774268,0.661769,53,77
4.379529,4.530459,0.150930,63,42
4.507239,4.646559,0.139320,84,50
4.785878,4.948418,0.162540,64,37
4.785878,4.983248,0.197370,52,88
4.785878,5.076128,0.290249,71,49
4.785878,6.087480,1.301601,60,77
4.785878,6.087480,1.301601,62,67
4.983248,6.087480,1.104232,52,95
5.354767,5.505697,0.150930,43,44
