index,repeat_group,repeat_index,repeat_delta_ms,repeat_status,output_path,start_ms,end_ms,start_s,end_s,duration_ms,duration_s,clip_dbfs
1,1,1,0,ok,data\split_audio\splits3\jingle_001.wav,0,4570,0.000,4.570,4570,4.570,-20.12
2,1,2,-230,ok,data\split_audio\splits3\jingle_002.wav,4270,8610,4.270,8.610,4340,4.340,-21.29
3,2,1,0,ok,data\split_audio\splits3\jingle_003.wav,10580,15247,10.580,15.247,4667,4.667,-20.21
4,2,2,-339,ok,data\split_audio\splits3\jingle_004.wav,14947,19275,14.947,19.275,4328,4.328,-21.30
5,3,1,0,check,data\split_audio\splits3\jingle_005.wav,21250,33547,21.250,33.547,12297,12.297,-24.39
6,3,2,-879,check,data\split_audio\splits3\jingle_006.wav,33247,44665,33.247,44.665,11418,11.418,-24.11
7,4,1,0,ok,data\split_audio\splits3\jingle_007.wav,47915,55870,47.915,55.870,7955,7.955,-20.20
8,4,2,0,ok,data\split_audio\splits3\jingle_008.wav,55570,63525,55.570,63.525,7955,7.955,-20.21
9,5,1,0,ok,data\split_audio\splits3\jingle_009.wav,65060,73110,65.060,73.110,8050,8.050,-19.73
10,5,2,0,ok,data\split_audio\splits3\jingle_010.wav,72810,80860,72.810,80.860,8050,8.050,-19.72
11,6,1,0,ok,data\split_audio\splits3\jingle_011.wav,82205,89132,82.205,89.132,6927,6.927,-22.94
12,6,2,1,ok,data\split_audio\splits3\jingle_012.wav,88832,95760,88.832,95.760,6928,6.928,-22.95
13,7,1,0,ok,data\split_audio\splits3\jingle_013.wav,96775,115437,96.775,115.437,18662,18.662,-16.87
14,7,2,261,ok,data\split_audio\splits3\jingle_014.wav,115137,134060,115.137,134.060,18923,18.923,-15.68
15,8,1,0,ok,data\split_audio\splits3\jingle_015.wav,134760,143020,134.760,143.020,8260,8.260,-15.64
16,8,2,80,ok,data\split_audio\splits3\jingle_016.wav,142720,151060,142.720,151.060,8340,8.340,-15.70
17,9,1,0,ok,data\split_audio\splits3\jingle_017.wav,151760,157792,151.760,157.792,6032,6.032,-16.63
18,9,2,-159,ok,data\split_audio\splits3\jingle_018.wav,157492,163365,157.492,163.365,5873,5.873,-16.51
19,10,1,0,check,data\split_audio\splits3\jingle_019.wav,164560,174415,164.560,174.415,9855,9.855,-19.42
20,10,2,1120,check,data\split_audio\splits3\jingle_020.wav,174115,185090,174.115,185.090,10975,10.975,-17.83
21,11,1,0,ok,data\split_audio\splits3\jingle_021.wav,186160,191830,186.160,191.830,5670,5.670,-16.66
22,11,2,-140,ok,data\split_audio\splits3\jingle_022.wav,191530,197060,191.530,197.060,5530,5.530,-16.55
